index,Date,Gender,Age,ImportanceExercise,FitnessLevel,Frequency,Barriers,Activity,DoYouDo,Daytime,Unit,Diet,BarriersDiet,SelfRatingDiet,RecommendedFriend,PurchasedEquipment,Motivation
0,2019/07/03 11:48:07 PM GMT+5:30,Female,19 to 25,2,Good,Never,I don't have enough time;I can't stay motivated,I don't really exercise,I don't really exercise,Early morning,I don't really exercise,Not always,Ease of access to fast food;Temptation and cravings,3,Yes,No,I'm sorry ... I'm not really interested in exercising
1,2019/07/03 11:51:22 PM GMT+5:30,Female,19 to 25,4,Very good,Never,I don't have enough time;I'll become too tired,Walking or jogging;Swimming,With a group,Early morning,I don't really exercise,Not always,Ease of access to fast food;Temptation and cravings,4,Yes,No,I want to be fit;I want to be flexible;I want to relieve stress;I'm sorry ... I'm not really interested in exercising
2,2019/07/03 11:56:28 PM GMT+5:30,Female,15 to 18,3,Good,1 to 2 times a week,I can't stay motivated,Walking or jogging,Alone,Early morning,30 minutes,Not always,Temptation and cravings,4,Yes,Yes,I want to be fit
3,2019/07/04 5:43:35 AM GMT+5:30,Female,15 to 18,4,Good,3 to 4 times a week,I don't have enough time,Walking or jogging;Gym;Lifting weights,Alone,Evening,1 hour,Yes,Temptation and cravings,4,Yes,No,I want to be fit;I want to lose weight
4,2019/07/04 5:44:29 AM GMT+5:30,Female,19 to 25,3,Unfit,Never,I can't stay motivated,I don't really exercise,I don't really exercise,Evening,I don't really exercise,Yes,Ease of access to fast food;Temptation and cravings,4,Yes,No,I want to be fit
5,2019/07/04 6:23:37 AM GMT+5:30,Female,40 and above,5,Average,3 to 4 times a week,I exercise regularly with no barriers,Walking or jogging;Yoga,With a group,Evening,1 hour,Not always,Temptation and cravings,3,Yes,No,I want to be flexible
6,2019/07/04 6:33:21 AM GMT+5:30,Male,40 and above,3,Good,1 to 2 times a week,I don't really enjoy exercising,Walking or jogging,Alone,Early morning,30 minutes,No,Temptation and cravings,3,No,No,I want to be flexible
7,2019/07/04 7:40:51 AM GMT+5:30,Female,15 to 18,3,Unfit,Never,I can't stay motivated;I don't really enjoy exercising,Walking or jogging,Alone,Early morning,I don't really exercise,Not always,Temptation and cravings,2,Yes,Yes,I want to be fit;I'm sorry ... I'm not really interested in exercising
8,2019/07/04 8:06:17 AM GMT+5:30,Male,19 to 25,5,Unfit,3 to 4 times a week,I don't have enough time;I can't stay motivated;I'll become too tired;I don't really enjoy exercising,Gym;Team sport,With a friend,Evening,1 hour,No,Temptation and cravings,2,Yes,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
9,2019/07/04 8:09:02 AM GMT+5:30,Male,15 to 18,5,Very good,Everyday,I don't have enough time;I exercise regularly with no barriers,Gym,With a friend,Early morning,1 hour,Not always,Ease of access to fast food,3,Yes,Yes,I want to be fit;I want to lose weight;I want to relieve stress
10,2019/07/04 8:10:44 AM GMT+5:30,Male,15 to 18,4,Very good,3 to 4 times a week,I don't have enough time,Walking or jogging;Team sport,With a group,Early morning,1 hour,Yes,Lack of time,4,Yes,Yes,I want to be fit
11,2019/07/04 8:11:42 AM GMT+5:30,Male,19 to 25,5,Unfit,3 to 4 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,2 hours,No,Temptation and cravings,4,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
12,2019/07/04 8:12:40 AM GMT+5:30,Male,15 to 18,4,Unfit,Never,I can't stay motivated,I don't really exercise,I don't really exercise,Evening,I don't really exercise,No,Temptation and cravings,1,No,No,I want to be fit;I want to increase muscle mass and strength;I want to lose weight
13,2019/07/04 8:13:38 AM GMT+5:30,Female,15 to 18,3,Average,1 to 2 times a week,I don't have enough time;I can't stay motivated;I'll become too tired;Less stamina,Walking or jogging,Alone,Evening,30 minutes,Not always,Temptation and cravings,3,No,Yes,I want to be fit;I want to lose weight
14,2019/07/04 8:19:03 AM GMT+5:30,Male,19 to 25,5,Average,1 to 2 times a week,I don't have enough time;I'll become too tired;I have an injury,Walking or jogging,Alone,Evening,30 minutes,No,Ease of access to fast food;Temptation and cravings,3,Yes,Yes,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress;I want to achieve a sporting goal;Doing exercises prevents many diseases.So yeah saves a lot of money .
15,2019/07/04 8:19:11 AM GMT+5:30,Female,15 to 18,3,Average,Everyday,I can't stay motivated,Walking or jogging;Yoga,Alone,Early morning,30 minutes,Not always,Cost;Ease of access to fast food,3,No,No,I want to relieve stress
16,2019/07/04 8:24:57 AM GMT+5:30,Male,15 to 18,3,Unfit,Never,I don't have enough time;I'll become too tired;I don't really enjoy exercising,Walking or jogging;I don't really exercise,I don't really exercise,Evening,I don't really exercise,Not always,Lack of time;Ease of access to fast food,2,No,No,I want to relieve stress;I'm sorry ... I'm not really interested in exercising
17,2019/07/04 8:27:53 AM GMT+5:30,Male,15 to 18,5,Good,1 to 2 times a week,I'll become too tired,Walking or jogging;Team sport,Alone,Early morning,1 hour,Not always,Temptation and cravings,3,No,No,I want to increase muscle mass and strength
18,2019/07/04 8:28:19 AM GMT+5:30,Male,19 to 25,3,Unfit,Never,I don't have enough time;I can't stay motivated;I'll become too tired;I have an injury,Walking or jogging,Alone,Early morning,1 hour,Not always,Temptation and cravings,1,No,Yes,I want to be fit;I want to increase muscle mass and strength;I want to lose weight;I want to be flexible;I want to relieve stress
19,2019/07/04 8:29:31 AM GMT+5:30,Male,15 to 18,3,Good,Everyday,I'll become too tired;I don't really enjoy exercising,Walking or jogging,With a group,Early morning,30 minutes,Not always,Temptation and cravings,3,No,Yes,I want to increase muscle mass and strength;I want to lose weight;I want to be flexible
20,2019/07/04 8:30:14 AM GMT+5:30,Male,19 to 25,4,Average,2 to 3 times a week,I don't have enough time;I'll become too tired,Walking or jogging;Gym,Alone,Early morning,30 minutes,Not always,Cost;Ease of access to fast food,2,No,No,I want to be fit;I want to lose weight
