epi_week,country,state,loc,loc_type,disease, event,number,from_date,to_date,url
188835,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1888-08-26,1888-09-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084180
188841,US,AL,MOBILE,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,1,1888-10-07,1888-10-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084185
188842,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1888-10-14,1888-10-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084186
189039,US,AL,MOBILE,CITY,DIPHTHERIA,DEATHS,1,1890-09-24,1890-09-30,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1991972
189109,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-03-01,1891-03-07,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992006
189110,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-03-08,1891-03-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992008
189111,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-03-15,1891-03-21,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992011
189112,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-03-22,1891-03-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992013
189113,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-03-29,1891-04-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992017
189114,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-04-05,1891-04-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992017
189115,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-04-12,1891-04-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992018
189116,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-04-19,1891-04-25,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992020
189117,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-04-26,1891-05-02,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992021
189118,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-05-03,1891-05-09,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992027
189119,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-05-10,1891-05-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992029
189119,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-05-10,1891-05-16,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992029
189120,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-05-17,1891-05-23,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992031
189121,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-05-24,1891-05-30,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992036
189122,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-05-31,1891-06-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992036
189122,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-05-31,1891-06-06,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992036
189123,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-06-07,1891-06-13,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992037
189124,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,5,1891-06-14,1891-06-20,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992039
189126,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-06-28,1891-07-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992043
189127,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-07-05,1891-07-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992047
189127,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1891-07-05,1891-07-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992047
189128,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-07-12,1891-07-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992048
189129,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-07-19,1891-07-25,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992051
189129,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-07-19,1891-07-25,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992051
189130,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-07-26,1891-08-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992049
189131,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-08-02,1891-08-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992052
189132,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-08-09,1891-08-15,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992050
189133,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-08-16,1891-08-22,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992057
189134,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-08-23,1891-08-29,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992058
189135,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-08-30,1891-09-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992060
189135,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-08-30,1891-09-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992060
189136,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-09-06,1891-09-12,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992062
189136,US,AL,MOBILE,CITY,DIPHTHERIA,DEATHS,1,1891-09-06,1891-09-12,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992062
189137,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-09-13,1891-09-19,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992065
189137,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,2,1891-09-13,1891-09-19,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992065
189138,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-09-20,1891-09-26,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992067
189138,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-09-20,1891-09-26,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992067
189139,US,AL,MOBILE,CITY,DIPHTHERIA,DEATHS,1,1891-09-27,1891-10-03,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992070
189140,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,1,1891-10-04,1891-10-10,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992071
189141,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-10-11,1891-10-17,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992076
189142,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-10-18,1891-10-24,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992076
189143,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,4,1891-10-25,1891-10-31,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992077
189143,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1891-10-25,1891-10-31,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992077
189143,US,AL,MOBILE,CITY,DIPHTHERIA,DEATHS,2,1891-10-25,1891-10-31,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992077
189144,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-11-01,1891-11-07,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992078
189144,US,AL,MOBILE,CITY,DIPHTHERIA,DEATHS,2,1891-11-01,1891-11-07,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992078
189145,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,3,1891-11-08,1891-11-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992081
189145,US,AL,MOBILE,CITY,DIPHTHERIA,DEATHS,2,1891-11-08,1891-11-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992081
189147,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-11-22,1891-11-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992085
189147,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-11-22,1891-11-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992085
189148,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-11-29,1891-12-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992088
189148,US,AL,MOBILE,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1891-11-29,1891-12-05,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992088
189149,US,AL,MOBILE,CITY,TUBERCULOSIS [PHTHISIS PULMONALIS],DEATHS,2,1891-12-06,1891-12-12,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1992089
