epi_week,country,state,loc,loc_type,disease, event,number,from_date,to_date,url
188828,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,1,1888-07-08,1888-07-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084173
188828,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,1,1888-07-08,1888-07-14,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084173
188829,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1888-07-15,1888-07-21,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084174
188829,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,4,1888-07-15,1888-07-21,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084174
188830,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1888-07-22,1888-07-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084175
188830,US,DC,WASHINGTON,CITY,SCARLET FEVER,DEATHS,1,1888-07-22,1888-07-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084175
188830,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,2,1888-07-22,1888-07-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084175
188830,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,8,1888-07-22,1888-07-28,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084175
188831,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,8,1888-07-29,1888-08-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084176
188831,US,DC,WASHINGTON,CITY,DIPHTHERIA,DEATHS,3,1888-07-29,1888-08-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084176
188831,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,10,1888-07-29,1888-08-04,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084176
188832,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1888-08-05,1888-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084177
188832,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,8,1888-08-05,1888-08-11,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084177
188833,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,4,1888-08-12,1888-08-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084178
188833,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,5,1888-08-12,1888-08-18,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084178
188835,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,6,1888-08-26,1888-09-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084180
188835,US,DC,WASHINGTON,CITY,WHOOPING COUGH [PERTUSSIS],DEATHS,5,1888-08-26,1888-09-01,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084180
188836,US,DC,WASHINGTON,CITY,TYPHOID FEVER [ENTERIC FEVER],DEATHS,3,1888-09-02,1888-09-08,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2084181
